titre_avis;texte_avis;note_avis;date_avis;type_voyage;nb_mots;nb_phrases;vader_compound;vader_sentiment;textblob_polarity;textblob_subjectivity;textblob_sentiment;transformer_label;transformer_score
Grande activité;Ana était charmante, joyeuse et a raconté des faits intéressants.Merci. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;5;2 novembre 2025;oct. 2025 • En famille;11;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996722936630249
Tour Eiffel avec des amis sans stress;"La Tour Eiffel a été absolument mémorable ! Notre guide, Ana Bauk, a donné vie à l’histoire de la tour grâce à son récit perspicace. J’ai adoré à quel point l’expérience était interactive; nous n’écoutions pas seulement — Ana encourageait les questions et partageait des anecdotes fascinantes qui donnaient à notre groupe l’impression d’être connecté.Faire des pauses aux premier et deuxième niveaux nous a permis de savourer une vue imprenable sur Paris tout en explorant les expositions et en dégustant des collations. Je recommande vivement le surclassement au sommet! Les vues panoramiques sont à couper le souffle, surtout depuis le trop.";5;12 octobre 2025;oct. 2025 • Entre amis;106;1;0.1027;Positif;0.0;0.0;Neutre;LABEL_1;0.9996590614318848
Tour Eiffel pluvieux mais amusant !;Nous avons fait la visite de la Tour Eiffel avec Janani. Même si nous avons eu une journée très pluvieuse et venteuse qui a entraîné la fermeture du sommet, nous avons quand même passé un très bon moment. La compagnie de guides touristiques était organisée et nous a rencontrés à temps. Notre guide Janani était bien informé et très bien préparé. Elle nous fave de grandes informations sur Eiffel avec des détails intéressants. Elle a rendu les choses amusantes et divertissantes malgré le temps!;5;4 octobre 2025;oct. 2025 • En famille;84;1;0.4404;Positif;0.0;0.0;Neutre;LABEL_1;0.999525785446167
Expérience mémorable;Même s'il y avait une longue file d'attente, la guide a rendu la visite rapide, amusante et mémorable avec ses blagues. Vous êtes reconnaissant pour l’expérience et vous recommandez d’y aller avec Kato.;5;30 septembre 2025;sept. 2025 • En famille;35;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995540976524353
*****;Nous avons eu une expérience incroyable sur notre tour de la Tour Eiffel avec Ana! Elle était très attentive, s'assurant que tout le monde se sentait à l'aise et inclus. Ana a partagé tant de faits et de points de vue intéressants qui ont rendu la visite encore plus mémorable. Ses connaissances et sa gentillesse se sont vraiment distinguées. Nous recommandons totalement Ana comme guide - elle a rendu notre visite inoubliable!;5;29 septembre 2025;sept. 2025 • En famille;71;1;-0.128;Négatif;0.4;0.9;Positif;LABEL_1;0.9996777772903442
Bon tour;Nihad était un grand guide touristique. Connaissance et amical. Je nous ai donné d'excellents conseils puisque je n'avais jamais vu la visite avant. Aurait été bon que le billet inclue l'accès au dernier étage;5;27 septembre 2025;sept. 2025 • En couple;34;1;0.4588;Positif;0.5;1.0;Positif;LABEL_1;0.9995766282081604
Escalade des marches de la tour Eiffle;Escalader la Tour Eiffel a été une expérience inoubliable qui a répondu à toutes les attentes, puis à certaines. J'ai choisi de monter les escaliers jusqu'au deuxième niveau, et même si c'était physiquement exigeant, le sentiment d'accomplissement à chaque pas en valait la peine.;5;26 septembre 2025;sept. 2025 • En famille;44;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995425939559937
Titre: Visite exceptionnelle de la Tour Eiffel – Une expérience incontournable !;Le guide de la Tour Eiffel était excellent, bien informé, attachant et bien organisé. Ils ont partagé des informations historiques fascinantes, ont aidé à éviter les longues files d'attente et ont rendu l'expérience fluide et mémorable. Hautement recommandé pour tous ceux qui veulent plus qu'une simple visite typique.;5;25 septembre 2025;sept. 2025 • En famille;48;1;0.5719;Positif;0.5;0.6785714285714286;Positif;LABEL_1;0.999671220779419
Tour Eiffel 2ème étage;Je suggère aux guides d’avoir un micro et aux visiteurs un conseil sonore lié au micro du guide.C'était une journée très pluvieuse et parfois nous ne pouvions pas entendre ce que le guide racontait.;4;20 juillet 2025;juil. 2025 • En famille;36;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.7120959162712097
Très bonne expérience;Joanna était juste incroyable. Elle était très bien informée et a tout expliqué vraiment bien. Nous sommes restés jusqu'à la fin de la visite pour entendre toutes les bonnes informations qu'elle avait.;5;16 juin 2025;mai 2025 • Entre amis;32;1;-0.128;Négatif;0.0;0.0;Neutre;LABEL_1;0.9996472597122192
Sommet de la Tour Eiffel;Super expérience avec notre guide Joanna T !! Elle nous a bien expliqué les détails de la construction de la Dame de Fer, très intéressant ! 🤩🤩;5;9 juin 2025;juin 2025 • En couple;24;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996600151062012
